customer_id,name,kana,birth_date,gender,age,occupation,income_band,segment,zip_code,address,phone,my_number,deposit_balance_manyen,managed_asset_manyen,branch_id,employee_id,account_open_date
C00001,吉田 裕太,タカハシ ナナミ,1956-02-07,男性,70,年金生活者,3000万以上,マスリテール,059-9489,茨城県古河市竜泉2-16,0285-78-3340,251461507038,563,0,B06,E023,2006-03-22
C00002,佐藤 裕美子,ヤマグチ モモコ,1953-01-10,女性,73,経営者,3000万以上,準富裕層,983-8320,栃木県小山市方京5-16,029-26-2796,787851215839,2157,0,B10,E039,2022-01-10
C00003,林 千代,スズキ ユミコ,1957-07-22,女性,69,不動産賃貸業,3000万以上,準富裕層,608-0651,栃木県足利市方京5-9,0288-63-2827,578001943304,,512,B12,E049,2013-05-21
C00004,福田 知実,イトウ マアヤ,1951-09-04,女性,75,農業,300-500万,マス,660-4915,茨城県古河市池之端2-18,0288-87-1009,454759765684,302,276,B07,E030,2011-04-29
C00005,佐藤 陽子,スズキ シュウヘイ,1970-10-19,女性,55,税理士,1000-1500万,準富裕層,135-5718,茨城県筑西市東大和町2-9,0283-97-7932,336070141120,2467,1442,B01,E005,2022-08-02
C00006,渡辺 智也,サイトウ リカ,1971-12-23,男性,54,経営者,1000-1500万,富裕層,683-9086,栃木県足利市九段南3-1,0283-90-4770,343045499634,4608,5756,B11,E043,2023-08-20
C00007,福田 京助,スズキ カナ,1982-11-11,男性,43,弁護士,3000万以上,マス,159-4462,茨城県石岡市脚折町5-16,0280-80-7669,203897019487,185,80,B01,E001,2017-02-04
C00008,田中 里佳,ヤマグチ ナオコ,1991-03-03,女性,35,公務員,1500-3000万,マスリテール,866-0832,栃木県栃木市前弥六南町2-7,0283-77-3296,299380463457,630,234,B10,E040,2017-09-07
C00009,佐藤 太一,ヤマザキ ジュン,1953-03-29,男性,73,自営業,500-800万,マスリテール,452-9038,茨城県鹿嶋市津久戸町2-13,029-41-7209,389439657508,259,417,B08,E073,2016-03-20
C00010,鈴木 くみ子,ムラカミ ヒロシ,1973-03-06,女性,53,歯科医師,1500-3000万,富裕層,440-2088,茨城県筑西市長畑2-2,0283-30-4044,753129325865,6959,668,B03,E009,2011-03-02
C00011,青木 修平,モリ タロウ,1984-10-13,男性,41,公務員,500-800万,マス,905-6658,栃木県佐野市渡辺2-11,0280-53-7484,835001525541,723,185,B10,E075,2023-07-07
