employee_id,employee_name,branch_id,role
E001,佐藤 淳,B01,営業担当
E002,伊藤 裕太,B01,営業担当
E003,森 涼平,B01,営業担当
E004,林 篤司,B01,営業担当
E005,鈴木 翔太,B01,営業担当
E006,木村 裕樹,B02,営業担当
E007,伊藤 裕美子,B02,支店長代理
E008,岡田 明美,B02,営業担当
E009,橋本 太一,B03,上席
E010,高橋 花子,B03,営業担当
E011,鈴木 和也,B03,営業担当
E012,近藤 陽子,B03,営業担当
E013,岡田 美加子,B03,営業担当
E014,松田 拓真,B04,支店長代理
E015,井上 洋介,B04,支店長代理
E016,木村 香織,B04,営業担当
E017,阿部 康弘,B05,営業担当
E018,岡本 千代,B05,支店長代理
E019,小林 智也,B05,上席
E020,高橋 春香,B05,営業担当
E021,森 裕樹,B05,上席
E022,斎藤 健一,B06,営業担当
E023,高橋 拓真,B06,営業担当
E024,岡本 里佳,B06,営業担当
E025,池田 洋介,B06,上席
E026,伊藤 篤司,B06,営業担当
E027,加藤 香織,B07,営業担当
E028,藤井 浩,B07,営業担当
E029,田中 幹,B07,営業担当
E030,斉藤 里佳,B07,営業担当
E031,高橋 くみ子,B08,上席
E032,中島 英樹,B08,営業担当
E033,中島 舞,B08,営業担当
E034,小林 くみ子,B09,支店長代理
E035,鈴木 あすか,B09,営業担当
E036,高橋 健一,B09,営業担当
E037,林 真綾,B09,上席
E038,林 美加子,B10,営業担当
E039,松田 明美,B10,上席
E040,池田 英樹,B10,営業担当
E041,藤田 花子,B10,支店長代理
E042,山本 健一,B10,営業担当
E043,佐藤 直子,B11,支店長代理
E044,山口 和也,B11,営業担当
E045,近藤 桃子,B11,支店長代理
E046,高橋 康弘,B11,営業担当
E047,松本 康弘,B11,営業担当
E048,斎藤 直樹,B12,営業担当
E049,鈴木 太郎,B12,営業担当
E050,伊藤 千代,B12,営業担当
E051,鈴木 直樹,B13,営業担当
E052,松田 英樹,B13,上席
E053,高橋 直樹,B13,営業担当
E054,渡辺 亮介,B14,営業担当
E055,藤原 結衣,B14,営業担当
E056,山下 拓真,B14,営業担当
E057,吉田 桃子,B14,営業担当
E058,鈴木 千代,B15,営業担当
E059,中村 浩,B15,営業担当
E060,林 晃,B15,支店長代理
E061,橋本 篤司,B16,営業担当
E062,鈴木 篤司,B16,支店長代理
E063,鈴木 千代,B16,営業担当
E064,森 知実,B16,営業担当
E065,山下 涼平,B16,上席
E066,伊藤 幹,B01,支店長
E067,田中 加奈,B02,支店長
E068,中村 舞,B03,支店長
E069,遠藤 あすか,B04,支店長
E070,佐藤 裕太,B05,支店長
E071,小川 加奈,B06,支店長
E072,田中 英樹,B07,支店長
E073,高橋 さゆり,B08,支店長
E074,山田 香織,B09,支店長
E075,岡田 結衣,B10,支店長
E076,佐藤 英樹,B11,支店長
E077,藤原 零,B12,支店長
E078,高橋 直樹,B13,支店長
E079,田中 真綾,B14,支店長
E080,高橋 晃,B15,支店長
E081,渡辺 美加子,B16,支店長
